"PASSENGERS","DISTANCE","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","MONTH",
0.00,1172.00,13244,16477,1,
0.00,1230.00,13244,15246,1,
0.00,4882.00,13244,15567,1,
0.00,1506.00,13303,10711,1,
0.00,682.00,13303,13306,1,
0.00,878.00,13514,13244,1,
0.00,1172.00,16477,13244,1,
0.00,1762.00,14838,13244,1,
0.00,1230.00,15246,13244,1,
0.00,4882.00,15567,13244,1,
0.00,3649.00,10920,11618,1,
0.00,4558.00,10920,13244,1,
0.00,4681.00,10970,13244,1,
0.00,4764.00,11760,13244,1,
0.00,4191.00,12339,10920,1,
0.00,4011.00,12339,15018,1,
0.00,4558.00,13244,10920,1,
0.00,4681.00,13244,10970,1,
0.00,7706.00,13244,11455,1,
0.00,4382.00,13244,15018,1,
0.00,4010.00,13560,11618,1,
0.00,4925.00,13560,13244,1,
0.00,4011.00,15018,12339,1,
0.00,4382.00,15018,13244,1,
0.00,5081.00,10299,12143,1,
0.00,3799.00,10299,12277,1,
0.00,3680.00,10299,12699,1,
0.00,3434.00,10299,13744,1,
0.00,4680.00,10299,15306,1,
0.00,5036.00,10877,10299,1,
0.00,1901.00,12016,14309,1,
0.00,5081.00,12143,10299,1,
0.00,8185.00,12143,13244,1,
0.00,4388.00,12173,10244,1,
0.00,5066.00,12173,15092,1,
0.00,3799.00,12277,10299,1,
0.00,3680.00,12699,10299,1,
0.00,6684.00,12699,12339,1,
0.00,6833.00,12699,13244,1,
0.00,5416.00,12699,13796,1,
0.00,6924.00,13244,12277,1,
0.00,6582.00,13244,13744,1,
0.00,3434.00,13744,10299,1,
0.00,6582.00,13744,13244,1,
0.00,5127.00,13796,13744,1,
0.00,4308.00,14309,10299,1,
0.00,7433.00,14309,13244,1,
0.00,4680.00,15306,10299,1,
0.00,1007.00,13930,11503,1,
0.00,746.00,10397,11618,1,
0.00,936.00,10747,13198,1,
0.00,1402.00,10747,14275,1,
0.00,1247.00,11540,14730,1,
0.00,370.00,12892,14107,1,
0.00,370.00,14107,12892,1,
0.00,1007.00,14656,15370,1,
0.00,299.00,14730,11996,1,
0.00,835.00,15530,15295,1,
0.00,291.00,10312,14843,1,
0.00,167.00,10732,14739,1,
0.00,531.00,11032,13303,1,
0.00,215.00,11187,11540,1,
0.00,1242.00,11187,11612,1,
0.00,804.00,11540,10638,1,
0.00,215.00,11540,11187,1,
0.00,453.00,11868,13303,1,
0.00,1017.00,12010,13303,1,
0.00,531.00,13303,11032,1,
0.00,453.00,13303,11868,1,
0.00,1017.00,13303,12010,1,
0.00,682.00,13303,13306,1,
0.00,866.00,13303,14681,1,
0.00,682.00,13306,13303,1,
0.00,866.00,14681,13303,1,
0.00,167.00,14739,10732,1,
0.00,291.00,14843,10312,1,
0.00,479.00,10599,13204,1,
0.00,991.00,10683,13303,1,
0.00,200.00,10721,11618,1,
0.00,737.00,10781,11697,1,
0.00,29.00,10800,12954,1,
0.00,714.00,10821,13485,1,
0.00,491.00,10868,12339,1,
0.00,370.00,11003,12884,1,
0.00,1542.00,11003,12954,1,
0.00,723.00,11003,14802,1,
0.00,1090.00,11003,15304,1,
0.00,829.00,11066,15304,1,
0.00,268.00,11150,10693,1,
0.00,1095.00,11298,12280,1,
0.00,296.00,11433,12945,1,
0.00,237.00,11433,13342,1,
0.00,212.00,11618,12264,1,
0.00,557.00,11618,12884,1,
0.00,319.00,11618,14122,1,
0.00,997.00,11618,15304,1,
0.00,873.00,11637,12945,1,
0.00,1716.00,11637,13303,1,
0.00,1972.00,11697,14107,1,
0.00,1427.00,11898,13891,1,
0.00,954.00,11982,13485,1,
0.00,212.00,12264,11618,1,
0.00,596.00,12278,12878,1,
0.00,570.00,12278,13485,1,
0.00,197.00,12278,15919,1,
0.00,432.00,12339,10397,1,
0.00,785.00,12339,11898,1,
0.00,1355.00,12339,12280,1,
0.00,59.00,12339,12878,1,
0.00,229.00,12339,12884,1,
0.00,489.00,12339,14492,1,
0.00,668.00,12878,11637,1,
0.00,59.00,12878,12339,1,
0.00,229.00,12884,12339,1,
0.00,514.00,12884,12348,1,
0.00,327.00,12884,12945,1,
0.00,1196.00,12884,13303,1,
0.00,242.00,12884,13485,1,
0.00,978.00,12917,13303,1,
0.00,816.00,12917,15304,1,
0.00,147.00,12945,12339,1,
0.00,327.00,12945,12884,1,
0.00,1141.00,12945,13256,1,
0.00,880.00,12945,13303,1,
0.00,861.00,13232,10721,1,
0.00,991.00,13303,10683,1,
0.00,738.00,13303,10781,1,
0.00,1145.00,13303,11433,1,
0.00,1716.00,13303,11637,1,
0.00,21.00,13303,11697,1,
0.00,1080.00,13303,12206,1,
0.00,1020.00,13303,12339,1,
0.00,1078.00,13303,12878,1,
0.00,880.00,13303,12945,1,
0.00,192.00,13303,13204,1,
0.00,208.00,13303,14112,1,
0.00,204.00,13303,15304,1,
0.00,820.00,13422,11042,1,
0.00,449.00,13485,11637,1,
